author,title,comment,rate,vote,country,updated
Anitshka,Tri des ventes,Impossible de faire un tri des ventes par ordre chronologique par ex.Les ventes « recommandées pour vous » n’intègre même pas les ventes dont on est déjà client ou pire celles dont on demande à être alerté avant ...Souvent obligée de chercher une vente directement par son nom pour trouver mon bonheur.Et j’en loupe souvent ! Les ventes peuvent remonter dans l’affichage mais elles ont 3 ou 4j d’existence et sont vidéesDe plus il arrive régulièrement que les ventes proposée en en-tête ne correspondent pas aux produits proposés (j’ai des captures d’écran),2,0,fr,2018-02-25T00:09:50-07:00
Atouva,Tri des ventes,La nouvelle organisation est pas top. « Recommandé pour vous » doit correspondre à hauteur de 10% de mes centres d’intérêts. Et du même coup les nouvelles ventes et one day sont plus difficiles à identifier même si j’ai bien compris que le but et que l’on revoie en scrollant les ventes déjà ouvertes. Il faudrait pouvoir personnaliser l’affichage.,3,0,fr,2018-02-23T10:15:43-07:00
Genovef,Prix et frais de livraison,Les prix de référence des articles sont souvent surestimés. Une révision des coûts de livraison à la baisse seraient utile car ils sont beaucoup trop chers quand sur d’autres sites marchands ces derniers sont compris dans la valeur du produit.,3,0,fr,2018-02-22T22:33:20-07:00
Rafuxxxx,Problème de réseaux,L’application cherche constamment et dit que je n’est pas de réseaux alors que je suis en 4g ... la boule cherche cherche... une mise à jour et importante à mon avis,1,0,fr,2018-02-20T15:19:05-07:00
LuxOfPaname,De moins en moins bien,"Les dernières MAJ sont vraiment à proscrire!!!Le rangement des ventes est nul, très difficile de savoir quelles sont les nouvelles ventes",2,0,fr,2018-02-20T10:52:02-07:00
Inès.01,Bug,"L’application ne fait que de beuger. Il n’y a pas écrit quelle jour et quelle heure la vente commence. De plus, lorsque j’ouvre une vente et ne s’ouvre pas, elle charge indefinimment.",2,0,fr,2018-02-20T02:27:36-07:00
Mariat89,Appli nulle!!,Application vraiment nulle et a besoin de beaucoup d'amélioration!! Temps de démarrage de l'appli très long avec presque toujours un message d'erreur et besoin de relancer plusieurs fois. Et dans l'appli le temps de chargement des articles est hyper long avec souvent message d'erreur. Options de tri et filtres pas développées,1,0,fr,2018-02-18T01:09:12-07:00
Tomtumtom,Buggggg,But énormément en ce moment sur iPhone ... une petit maj ferait pas de mal,2,0,fr,2018-02-17T13:27:47-07:00
Cléopas,Déçu par la dernière MAJ,"Pourquoi avoir abandonné là rubrique « nouveaux deals »? Dorénavant, nouveaux et anciens deals sont mélangés, obligeant à parcourir toute la liste pour essayer de deviner ce qui a changé depuis hier ! Je préfère dorénavant me référer au mail quotidien plutôt que d’ouvrir l’appli.Très déçu !",1,0,fr,2018-02-16T04:59:27-07:00
Alexstef26,Ne fonctionne plus,Bonjour l appli ne fonctionne plus depuis la mise à jour ????,4,0,fr,2018-02-14T23:47:09-07:00
maeleevana,Pas si interessant,"Au premier abord, on croit faire de bonnes affaires. Mais une fois les frais de livraison ajoutés et quelques recherches sur le net pour s assurer que les prix sont VRAIMENT interessant, on a trois possibilités. - les prix annoncés comme prix de vente conseillés sont gonflés et on s aperçoit qu on n y gagne que. 2/3 euros- c est une ancienne version ou collection, et dans ce cas, on retrouve les memes produits ailleurs au meme prix, - il faut acheter beaucoup de produits pour que ce soit interessant vu les frais de livraison ( aliment, maquillage...) Les frais de livraison s accumulent par vente et non pas sur une commande globale. Et ca peut tres vite monter.Les remboursements ne sont pas rapides lorsqu il y a un problème. Ils font carrément la sourde oreille si on n insiste pas lourdement, notamment sur les offres qui vous proposent des bons d achat sur le site en échange d une signature de contrat par ex ( ex verisure) C est toujours les memes produits, les memes marques et les tailles mini. Donc si vous ne dépassez pas le 40 , c est bien. Mais au delà... Concernant les ventes monday mood, pour en avoir fait l experience plusieurs fois, les articles sont quasiment tous épuisés lors de la publication. C est de la poudre de perlimpimpim. . C est relativement addictif au debut, mais on se lasse vite. Aujourd'hui, on commande assez rarement, sauf après verification des prix et si on en a vraiment besoin...Ce ne sont pas vraiment des ventes privées. On retrouve régulièrement leurs offres ailleurs, sur d autres sites, ou directement sur les sites des producteurs,Et concernant les marques étrangères, il faut bien se renseigner. J ai acheté un robe enfant soit disant de bonne marque espagnole... qui soit disant valait 90€ (payee20€). Elle est importable tellement elle a été mal coupée...",2,0,fr,2018-02-13T02:28:36-07:00
Thumette,"C’était bien, avant.",Que des problèmes depuis plus d’un an de commandes et service après vente devenus une vaste blague. Ce site n’est plus que l’ombre de lui-même. Évitez !,1,0,fr,2018-02-12T14:47:08-07:00
lepapillonvanessa,Déçu par la dernière MAJ,"J’adore l’app « Vente -Privée », tout les jours j’aime y jeter mon œil, mais je ne comprends pas la dernière MAJ ?! Auparavant il était très simple de voir le nouvelles ventes du jour, les « one day », et les ventes de 19h. Maintenant il faut fouiller dans toutes les catégories pour trouver les dernières ventes, c’est vraiment pénible.",2,0,fr,2018-02-12T12:18:59-07:00
Nana.Pi,J'adore ... MAIS,"... surtout les affaires du jour.C'est un danger pour les finances 😀... MAIS : la mise à jour de l’appli avec « recommande pour vous » ne me satisfait pas du tout car ce qui est recommandé pour moi, ne m’intéresse absolument pas alors que des choses non recommandées m’intéresse ...  Vive le BigData , mais très peu pour moi ... en tout cas, vos recommandations ça ne marchent pas, et me découragent même d’utiliser l’appli ☹️☹️☹️😖😖😖",3,0,fr,2018-02-10T17:08:45-07:00
StephPlum,Merci,"Oui, merci ! Devoir scruter toutes les ventes pour découvrir les nouveautés me décourage d’avance. Je vais faire de belles économies avec la dernière version de l’application. Sans parler des suggestions personnalisées qui se contentent d’afficher les ventes auxquelles j’ai jeté un coup d’œil.",2,0,fr,2018-02-10T10:08:38-07:00
Jeffreeze,Appli sympa mais comme elle ne marche plus depuis la mise à jour zéro,Et fini mes achat sur ce site j’irais sur showroom,1,0,fr,2018-02-10T00:19:20-07:00
Mimi6453,Au top,La meilleure application très pratique et rapide Tout le contraire de privatesportshop qui est sans doute la plus nulle,5,0,fr,2018-02-10T00:13:25-07:00
XxRihANAxX,Moyen depuis la dernière MàJ,Vraiment moyen depuis la dernière version.Déçu,3,0,fr,2018-02-09T11:07:47-07:00
Torschutz,Sélectionné pour qui ?,"Depuis début février 2018, présentation sur des critères fumeux ""sélectionné pour vous"" comme si on allait racheter 20 fois les mêmes produits !Dommage cette évolution qui fait passer de 5 à 1 étoile d'un coup.Cherché l'option qui ""désactive""...Help !",1,0,fr,2018-02-08T14:17:26-07:00
ghk3455,Décevant,"Décevant, les délais de livraison ne sont pas tenus et les commandes ne sont parfois jamais expédiés...Le service après vente laisse à désirer alors que le prix de la livraison est élevé... mieux vaut commander sur showroomprive le service y est meilleur.",2,0,fr,2018-02-07T14:33:00-07:00
Wizzzzz3456765421,Nulle la nouvelle présentation,"Fidèle cliente depuis plusieurs années, je regarde chaque matin. Depuis deux jours, la nouvelle présentation mélange les nouvelles et anciennes ventes. Illisible.",1,0,fr,2018-02-07T13:48:55-07:00
Juliesap,Appli qui beug et se bloque,J’adore vente privee et j’ai toujours utilisé l’appli sans soucis. Mais depuis quelques temps elle beug enormement je trouve... c’est penible...,2,0,fr,2018-02-05T22:42:15-07:00
Darkvadorette,MAJ nulle ! Grrrrr,"Pb déjà signalé par SUPPAHPIC.  Retour SYSTÉMATIQUE en haut de page après visionnage d'un article 😤 C'est TRÈS pénible, agaçant et décourageant ! (Iphone6) Un correctif s’impose ! VITE !",1,0,fr,2018-02-02T04:33:37-07:00
Kirikou08,Vraiment à éviter,"Comme beaucoup de client , je me suis fait avoir par ce site .je n ai jamais reçu ma commande et bien sûr dépitée depuis deux mois et demi ! Service client qui nous balade  ! Regarder les avis sur internet et sur le compte Facebook , c est vraiment instructif .",1,0,fr,2018-02-02T04:27:33-07:00
Mojojojotroi,Notifications ennuyeuses,Merci de bien vouloir arrêter d’envoyer des notifications de « rappels » pour ouvrir votre application lorsque pus jugez que ça fait trop longtemps à votre goût que l’on n’a pas acheté quelque chose dans votre boutique !,1,0,fr,2018-02-01T23:04:56-07:00
atjem,Beaucoup de BUGS !,"Dysfonctionnement suite à la dernière mise à jour : défilement de toute la collection après la prise de connaissance d’un produit de cette collection.Merci pour votre réactivité.A quand l’usage de la fonction ""Touch ID"" ?",3,0,fr,2018-02-01T21:34:04-07:00
Angie92,ARRÊTEZ DE RECHARGER LA PAGE TOITES LES 5 SECONDES,"Site super mais depuis quelques temps, on n’a pas le temps de faire défiler une page qu’elle recharge toutes les 5 secondes et revient automatiquement en haut: STOP!!!!A vous dégoûter d’y aller!!!",1,0,fr,2018-02-01T16:19:00-07:00
Salta1,Site non fiable,"Depuis quelques mois, les commandes ne sont plus honorées et les délais respectés. Personnellement j’étais un habitué du site depuis sa création mais aujourd’hui je vais l’abandonner : sur mes 5 dernières commandes, 3 ont été annulées ou partiellement respectées. Les sommes sont prélevées très rapidement et il faut relancer à plusieurs reprises et pendant plusieurs semaines pour récupérer son argent : cela rappelle les pratiques des sites douteux.",1,0,fr,2018-02-01T06:06:20-07:00
filou131,Problème qualité et SAV,"Attention il faut souvent vous méfier des ventes de vêtements sur ce site car des marques (ex: Ralph Lauren) font créer des produits que pour ces ventes privées. La qualité de ces produits est vraiment inférieure aux produits que vous trouvez dans les magasins et le prix qui est proposé est  beaucoup trop élevé par rapport à cette qualité.Le SAV est aussi très mauvais sur ventes privées, il ne trouve pas de solution selon le problème que vous avez. Ils doivent vous rappeler et ils ne le font pas. J’ai un problème sur une vente depuis plus de 2 mois et je n’ai toujours pas eu de réponse.",1,0,fr,2018-02-01T03:43:08-07:00
Lea30_05,Site super,Site trop bien il y a que de bonne affaire vrm c est cool,5,0,fr,2018-01-30T13:39:51-07:00
Sissi5902,Bug souvent,"Bonne appli, complète mais pas intuitive. Sans rien faire de particulier le menu remonte en haut et ce, tout le temps. Avant l’appli fonctionnait très bien, à force de la remanier on en arrive à la rendre moins fluide, c’est dommage!",2,0,fr,2018-01-28T15:46:37-07:00
Titi13du34,Pas à jour,Elle ne fonctionne plus. Mettre à jour svp pour l’iOS 11. Merci,3,0,fr,2018-01-27T00:35:12-07:00
Lilie20486,Mauvaise gestion,"Le pb avec vente privée c’est qu’ils gèrent très mal leur stock. Vous commandez et au moment d’être livré vous ne recevez pas votre commande car ils ont eu un soucis de stock.... et si vous ne les contactez pas, ils ne vous donnent pas l’information. La relation client et la gestion des stocks ne sont pas leur fort !!!!",1,0,fr,2018-01-24T05:01:08-07:00
Suppahpic,Maj nulle,"Depuis la dernière maj, pendant qu'on scroll le menu vers le bas, on revient de manière totalement aléatoire en haut de la page... énervant, surtout pour les listes longues où il faut retrouver le point où on en était, et cela plusieurs fois, jusqu'à qu'on s'énerve et on n'achète plus rien:)",1,0,fr,2018-01-23T15:02:05-07:00
Loooooooly31,Super appli,Une bonne appli merci,5,0,fr,2018-01-23T12:15:27-07:00
bleulazur,Bémol,"Bonne apps mais il y a des défauts: Souvent l’application plante à l’ouverture. Et souvent dans les ventes elles même, le chargement est long ( le papillon bat des ailes indéfiniment) . iPhone SE . Ce qu’il manque aussi à cette application c’est la touche « back to top »Je suis membre depuis des années et je constate souvent avec regret que le prix des articles donné avant le prix soldé est souvent supérieur à la valeur réelle du produit. Et comme il s’agit la plus part du temps de collection outlet,, je considère que l’économie RÉELLE n’est pas suffisante. Merci",3,1,fr,2018-01-20T00:40:43-07:00
Stereosushi,Appli sans soucis,Une application efficace et simpleRarement mise à défaut,4,0,fr,2018-01-18T14:13:08-07:00
Sandra131313,J’aime mais attention à certains articles,"Super application :- on y trouve du déstockage très intéressant mais c’est comme tout, attention à certains articles qui n’ont pas la même qualité que ceux en magasin, allez savoir pourquoi... et on ne le découvre qu’à réception du produit... Aussi : - pour le prix de certains articles, Vente-privee aurait tout intérêt à faire un programme de livraisons gratuites pendant un an comme Showroomprivé pour 20€ par an : les accrocs au shopping ont vite fait de dépenser leur argent dans la livraison, très chère chez Vente Privée gros point noir du site !!",3,0,fr,2018-01-18T10:30:18-07:00
scherwood,Impression de billets,Pas possible d imprimer des e billets à partir de l application sur mes commandes sur portable car pas de lien d impression  beug à corriger,4,0,fr,2018-01-18T09:13:20-07:00
CltLCL2017,Crise de croissance,"Dégradation du service, de l’intérêt des promotions, des colis disparaissent sans dédommagement ni geste commercial, et pour lesquels il faut attendre 2 mois pour espérer un remboursement.Soignez votre service client !",1,0,fr,2018-01-18T08:24:53-07:00
Mylene42160,Contente mais...,"Je commande déjà pas mal sur ce site mais je commanderai +++ si les frais de port n'étaient pas Si élevés. Avant ils étaient de 6,50€ quelle que soit la commande. La par exemple pour 6 capes de bain bébé donc colis pas volumineux ni lourd 9€50.... pour des couches ça passe à 14€. Je trouve que c'est exagéré et Que Ca ne vaut même plus le coup d'acheter moins cher car avec les frais de port parfois on ne fait pas d'économies. De plus en plus déçue de ce site malheureusement. Par ailleurs malgré ma fidélité je n'ai jamais de bon de réduction.... ce n'est pas un site vendeur....",2,0,fr,2018-01-18T04:44:07-07:00
Pascal2105,Pas mal mais..,"Prix à vérifier, car pas,toujours les,moins chère.",3,0,fr,2018-01-16T22:50:54-07:00
Lilie po,Pas mal,Dommage que l'appli de gère pas les retours,3,0,fr,2018-01-16T22:39:13-07:00
Edeic,retour de bug,"depuis dernière mise à jour , retour d’un bug qui avait été corrigé. lors du défilement des articles à l’écran, des sauts de pages font remonter la page au début. ça impose de glisser à nouveau pour redescendre à nouveau dans la zone précédemment consultée. très désagréable.amis développeurs à votre code.",3,0,fr,2018-01-16T22:13:01-07:00
PaulEmm,Très bonne appli,Super appli pour trouver des bons plans!,5,0,fr,2018-01-16T06:49:09-07:00
Stephane DGT,Comparer avant achat,"Les prix sont parfois un peu surévalués et laissent croire à de très bonnes affaires.Néanmoins, le SAV est compétent, fiable et rapide.",4,0,fr,2018-01-16T04:37:01-07:00
larjeje,Vérifier,Vérifier les prix il ont tendance à être au même prix que su4 internet,3,0,fr,2018-01-16T00:03:15-07:00
Bwm1200,Très bien,"Pour ma part cela fait des années depuis qu’il existe que j’achète sur ce site., Il est vrai que quelques fois il y a quand même des prix assez cher et si on va aller chercher ailleurs quelques fois on les trouve moins cher !En dehors de cela j’ai toujours été très vite remboursée lorsque je retourne un produit .Mais certaines marques ne font pas assez de réduction, par contre j’ai toujours attrapé de très bons produits même si j’en ai retourné quelques hein.,Par contre la livraison est toujours aussi longue et ça c’est un peu déplorable.",4,0,fr,2018-01-16T00:00:40-07:00
eden amaya,Le coin du bonheur,"Super site on y trouve toujours notre bonheur. Dommage que les produits n’arrivent pas toujours parce que plus de stocks... les remboursements se font toujours rapidement et les bons d’achat sont appréciables. Ce geste commercial est un atout. Il serait bien de pouvoir tout faire à partir de l’appli comme les retours... la rubrique aide serait bien à partir de notre smartphone ou tablette. Mais sinon rien un dire...des marques toujours au rdv, c’est devenu une drogue de se connecter quotidiennement. Mon plaisir quotidien 😉",5,7,fr,2018-01-15T23:02:33-07:00
Tommy Paris,Bonne appli à optimiser,Il faudrait que l’on puisse mettre dans le même panier des articles provenant de différentes ventes.Vu les délais de livraison on pourrait optimiser la logistique,4,0,fr,2018-01-15T22:43:58-07:00
sarah bel,Nul,Vente privée ce n’est plus ce que c’était Depuis qu’il a été racheté par le Qatar le SAV est pourri !Plus de 2 mois pour avoir un remboursement,3,0,fr,2018-01-15T22:15:14-07:00
Syltite,Sérieux,Site de vente sérieux mais beaucoup d’appareils et peu de vente vestimentaire,3,0,fr,2018-01-15T13:18:42-07:00
elodiet33170,Un scandale,"Des erreurs permanentes, mais bizarrement toujours en défaveur du client: commandes livrées partiellement, erreurs de commande, retours non enregistrés, remboursements partiels, service client DEPLORABLE qui répète des messages pré enregistrés, bref une gestion désastreuse pour une boite de cette ampleur, qui frise la malhonnêteté...",1,0,fr,2018-01-15T12:27:14-07:00
Emadalex,Bonne application,Haut lieu connu de bonnes affaires même si certaines marques reviennent un peu trop souvent. Attention à la possibilité de prix gonflé pour avoir l’impression d’une bonne ristourne.,4,2,fr,2018-01-15T11:59:19-07:00
Chmouel6969,Service après-vente plus que nul,"J’ai eu besoin d’eux pour plusieurs achats que j’ai effectué.Ils m’ont dit on s’occupe de vous, vous inquiétez pas soit vous serez remboursé soit les prestataires vous rappelleront...J’attend toujours...",1,0,fr,2018-01-15T11:22:00-07:00
beber43,Bonne application mais...,Bonne application dommage que certaines ventes de voyage ne fonctionnent pas via application iOS depuis quelques temps...,3,0,fr,2018-01-15T11:14:04-07:00
Steph D-M,Très bonne app,"Très bonne app, fonctionne très bien, peu de bugs. Le site Vente Privée a des offres très intéressantes mais vérifier le prix et si l’économie est réelle peut s’avérer utile. Je n’utilise presque plus le site VP et uniquement l’application car je la trouve très fonctionnelle !",5,0,fr,2018-01-15T10:06:26-07:00
Guizmol'esquimo,Livraison,J’aimerais vois la date prévisionnelle de livraison en un clin d’œil lors de ma consultation des produits .    Sinon parfait !,3,0,fr,2018-01-15T09:19:50-07:00
Beigen,Appli bien faite,"C’est ensuite qu’il faut tenir ses promesses... fidèle cliente, j’ai eu l’occasion d’avoir des déconvenues : colis perdu, article manquant, article abîmé... le service client répond bien mais les compensations sont parfois difficiles à obtenir. Par ailleurs, la fidélité mériterait d’être récompensée...",3,0,fr,2018-01-15T06:09:13-07:00
Sophie49420,Vente privée,"Appli très bien, produits géniaux (montres cluses etc..) mais les livraisons peuvent parfois être longues et l’appli ne propose pas de code promoJe recommande",4,0,fr,2018-01-15T05:58:26-07:00
1dien94,Avis,Application géniale pour faire des achats en ligne. Très satisfait,5,0,fr,2018-01-15T04:52:48-07:00
oascalou,Reponse sur sondage,La présentation de la page d’accueil  manque de convivialité et quelques fois trop de clics a faire pour avoir la bonne info,4,0,fr,2018-01-15T03:37:25-07:00
R.Redford,Tout doucement......,Cette application fonctionne très mal sur iPad.Elle est d'une lenteur affligeante.Dommage car le graphisme est top !,1,0,fr,2018-01-15T03:20:14-07:00
Tommy Gi,Bonnes affaires - société sérieuse,Y a des affaires à faire... parfois le prix soldé est exagéré.L’appli ne remplace pas la version ordinateur puisqu elle ne gère pas la demande de retour.Point faible par rapport à la concurrence le retour article est payant,3,0,fr,2018-01-15T02:42:29-07:00
Stoufff,Service client mauvais,Perte de colis de Noel. Aucun responsable rappel Remboursement des cadeaux de noel mis janvier. Une honte vente privée,1,0,fr,2018-01-15T02:36:28-07:00
Shushi1692,Mécontente,"Ça fait 1 mois que j’attends le remboursement d’une commande passée avant les fêtes de Noël. J’ai appelé, envoyé des mails et c’est à chaque fois le même refrain « nous traitons votre dossier, vous serez informé lors du remboursement » ...Sauf que je n’ai jamais vu la trace d’aucun remboursement et en plus j’ai dû racheter un cadeau de Noël. Dans les conditions générales de ventes il est stipulé que Ventes privées doit rembourser le client sous 14 jours en cas d’indisponibilité du produit. Donc pour moi ce n’est pas une enseigne sérieuse. Plus jamais je recommanderai !En plus les prix ne sont pas toujours intéressants (moins cher ou offre équivalente sur les sites des marques)",1,0,fr,2018-01-10T14:31:32-07:00
Puoloup,Concept vente privée devient très agaçant,"L’application fonctionne bien, par contre la gestion des clients de vente-privee commence à sérieusement m’agacer. J’ai passé deux commandes pour lesquelles j’ai demandé un remboursement. Cela fait 3 semaines et je n’ai toujours pas été remboursé. On m’annonce un remboursement de 8j au bout de 3 semaines. Déjà qu’il faut patienter un mois pour recevoir le produit, remboursé sous un mois et débité de suite... on nous prend vraiment pour des dindons. Ça sera ma dernière expérience VP, alors que j’étais client depuis 2009.",1,0,fr,2018-01-10T10:36:16-07:00
75patrick,Prix à vérifier,"Toujours de bonnes affaires mais vérifiez les prix surtout sur le VIN ,des fois prix gonglé",4,2,fr,2018-01-10T10:28:19-07:00
cedrique14,A fuir,"Une énième livraison d’annuler toujours en raison de « problème de stock »!!Deux mails et deux appels pour réclamer mon remboursement! Toujours rien (hormis un mail automatique = super le service client), nous sommes le 10/01, la livraison devait se faire au plus tard le 30/12...Est ce un moyen de gonfler le CA en fin d’année?? Mensonge sur les produits proposés?Bref, il s’agit de la deuxième fois sur 5 commandes! J’arrête les frais...vous devriez en faire de même!!!",1,0,fr,2018-01-10T00:35:52-07:00
Ipobe,Voyage inaccessible,C dommage...,2,0,fr,2018-01-06T00:18:14-07:00
Reivoz,Quelques affaires biens mais ...,- des retards +++ dans les livraisons (>1 mois)- des produits avec des dates de péremption très proches- des prix régulièrement plus chers que la concurrence Donc des deals à vérifier avant de faire un achat et ne pas être pressé pour la livraison,2,0,fr,2018-01-05T17:31:45-07:00
Testerbzh,VOLEURS,"- 6,50€ de ports par commande!!!!!!!!!- Vous commandez plusieurs articles sur 3 Ventes par exemple et bien les frais de ports c'est fois 3!!!- livraison moyenne 5 SEMAINES!!!!! Pour 6,50 de ports.Même en relais colis le prix reste inchangé!!!Du coup il faut commande en quantité astronomique quand il s'agit de produits d'hygiènes par exemple, sinon vous vous retrouvez à payer le produit en question plus cher malgré la soit disant promo (car vérifier bien le prix sur les autres sites. En effet après plusieurs tests de comparaison, VP se retrouvent plus cher à chaque fois malgré des réductions allant jusqu'à -40 dans mes comparaison! HALLUCINANT!Exemple du jour : concert T'Choupi à Rennes. Prix strictement identique à celui de la Fnac et francebillet.",1,0,fr,2018-01-05T11:52:16-07:00
NoraHam,Au secours ! Vite une MAJ,"Je n’avais jamais eu de problème avec Vente privée Mais depuis deux mois, l’appli plante, c’est une cata. On ne peux plus lire les descriptifs ni ajouter quelque chose à son panier. De surcroît, le service client est en dessous de tout. J’attendais une commande pour le 16 qui est arrivée le 19. Sauf que j’étais déjà parti en congés pour noel ! Obligé de racheter à la va vite des cadeaux qui m’ont coûté une fortune sur place. Sans explication ni excuses de la part du service. Mais ils s’en cognent. Inadmissible.",2,0,fr,2018-01-05T00:09:26-07:00
PHIL091058,Barre de téléchargement,La barre de téléchargement s’arrête avant la fin et je n’arrive pas avoir le voyage,2,0,fr,2018-01-03T11:30:46-07:00
Syl 83,Commande arrive état lamentable,J ai passé une commande le 30 novembre je l ai reçu le 2 janvier et en plus pas dans le bon relais colis et pour clôturer la commande est arrivée toute cassée (des tasses ..aucune protection juste un papier bulle pose à l arraché dans le carton et tjrs pas de réponse de leur part .... à éviter nul nul nul,1,0,fr,2018-01-03T09:00:44-07:00
Floreence,Une grosse arnaque !,Les prix sont gonflés afin de proposer des réductions qui semblent incroyables. Commandes soudainement annulées lorsque le délai de livraison n’est pas respecté avec pour motif « anomalies des stocks ». Cela fait 3 fois déjà donc signalement de ce site à la répression des fraudes!,1,0,fr,2018-01-03T07:44:48-07:00
Gaetan22,😒,Ma 1ère commande Avril 2008 Ma dernière Août 2014. Je ne vois plus de superbe affaire à faire... Mais je regarde de temps en temps 😳,4,0,fr,2018-01-01T11:53:12-07:00
Aminata,Déception,"Commande perdue dans l entrepôt, remboursée au bout de 3 longs mois et ce après plusieurs relances ...T-shirt troué... appareil photo, modèle en dessous reçu... idem pour une lampe...Préférez Showroomprivé!",1,0,fr,2017-12-31T18:16:38-07:00
Hitch955,Des voleurs,"Un bon qui n'apparait pas et qui expire quand je le réclame, un service client inexistant, sans compter les nombreuses erreurs de livraison que ce soit sur les tailles ou les produits, les annulations de commande trop avantageuses... adieu vente privée",1,0,fr,2017-12-31T10:24:14-07:00
luciole 2008,Une idée,"Il serait bien de pouvoir visualiser, en cliquant dessus, les éléments qui composent le panier. Quand il s’agit de chaussures ou de bijoux par exemple, et qu’il existe plusieurs modèles similaires, il est parfois difficile de savoir ce qu’on a pris et encore plus de les retrouver sur les pages.",4,0,fr,2017-12-29T13:01:57-07:00
Glgor,Déception totale malgré les prix attrayants,J’ai commandé un cadeau livré entre le 18 et 23 décembre 2017. Je suis encore dans l’attente de ce colis le 28 décembre. À 9€ la livraison on peut dire que l’on se moque du monde. N’ayant aucune nouvelle de mon colis depuis le 21 décembre et suite à 3 erreur de tri.Et n’ayant aucune réponse du site et du distributeur pour effectuer un remboursement à défaut de solution.Je vais devoir me rendre personnellement sur le lieu de distribution.Honteux.,1,1,fr,2017-12-28T08:25:51-07:00
Betty la Corse,Irrespect totale du client,Malgré un appel difficile...Une attente inutile d’un rappel Des mail restés sans réponse....Aucune aide n’est apportée dans la résolution des difficultés...Site à éviter,1,0,fr,2017-12-28T06:05:50-07:00
Paaauuuwww,Au top,"Aucun problème avec ce site toujours reçu les produits, de bonnes qualités, rien a dire! Évidement je conseil!",5,0,fr,2017-12-28T04:56:17-07:00
alexix66,De plus en plus déçu,"L’application ne m’a jamais déçu jusqu’à avant Noël.Une commande jamais arrivée sans aucun message de leur part, annulé par la suite.J’ai envoyé 4 messages à ventes privées via le site (parce qu’évidemment on ne trouve aucun moyen de les contacter par e-mail) et je n’ai jamais eu une réponse et donc ni explication.Bref à mon avis je ne suis pas seul dans ce cas mais je pense me retourner vers un concurrent plus sérieux.",2,0,fr,2017-12-28T03:38:27-07:00
Jadelametisse,Les produits correspondent mais.....,"Mais à pars kk articles livrés en 24h y a encore bcp de boulot à faire , car le 3/4 des produits proposés sont livrable que 3 semaines après....j ai mm reçut des articles 1 mois après ,alors que j avais oublié que je les avaient acheter......",3,1,fr,2017-12-27T09:00:25-07:00
Bacou,Plus jamais !! Des voleurs !!,"Fidèle cliente depuis des années, ils sont devenus voleurs depuis quelques mois. Pas une commande sans un problème, on ne reçoit jamaisnle produit commandé. Service client inutile qui ne répond jamais aux demandes et ne propose aucune solution. Inadmissible !!! Je ne les conseille à plus personne !",1,0,fr,2017-12-26T10:31:54-07:00
selsel81,Démarrage lent,"Application très très lente au démarrage , c'est une catastrophe",2,0,fr,2017-12-26T07:51:18-07:00
