author,comment,rate,date
,"Commande effectué en décembre la livraison devait être au plus tard le 06 janvier, aujourd'hui le 21 janvier, ma commande est en préparation depuis prêt d'un moi... De sur plus, on refuse d'annuler ma commande et de me rembourser... Vous nous prenez vraiment pour des pigeon... Si en février j'ai toujours pas de nouvelle je porte plainte pcq mon compte lui, a bien été débité !",1,1516489200000
Katy Kat,Achat de 3 paires de New Balance validée pour au final avoir la commande annulée. Ils laissent les gens commander en masse alors qu'ils n'ont pas les stocks en conséquence. Lamentable...,1,1516662000000
,"Des voleurs...commande passée en septembre, erreur sur la saisie des quantités, livraison partielle, 5 mois pour être remboursée. Si ça c'est pas du vol... et quand on appelle leur service client...la réponse c'est il faut attendre... par contre pour la livraison partielle les frais d'envoi sont à ma charge pour 5 fois moins de produits livrés...fuyez",1,1516402800000
jm sauvageon,Les prix sont intéressants mais il faut néanmoins prendre le temps d'aller vérifier sur internet (certains produits sont parfois au même prix) et il faut surtout s'armer de patience : il faut souvent attendre un bon mois avant de recevoir son achat...,4,1517180400000
Celine Pariat,"Je suis complètement écoeurée de cette application et la désinstalle. Même si celle ci fonctionne très bien en elle même et que les prix sont assez intéressants. Le problème vient des délais de livraison à rallonge et des frais de port exorbitants.  2 exemples : Sur une commande Gerlinéa de 56€, en gagner 15€ (par rapport au ""prix public"") c'est pas mal mais en avoir pour 7€50 de livraison c'est moche!!!  Sur une commande ""soins du corps et de la maison"" de plus de 80€ avoir 17€ de frais de port et une livraison en mars, non merci. Tchao ventes privées...",1,1517007600000
Jean-Michel STARONIEWICZ,"De très grosses dégradations, côté délais de livraison, SAV par mail où l'on répond si on en a envie, parfois sur un ton très sec. Articles manquants ou non conformes. 2 commandes effectuées en Janvier, la première perdue dès le début, la seconde , problème de gestion des stocks... Pour la première, attente de 3 semaines pour être remboursé ; la seconde, si je n'avais pas posé la question, vente-privé ne m'aurait jamais contacté. En chute libre, on se dirait sur feu gestion shipping. Dommage, je n'achète plus. Pas fiable du tout",1,1518044400000
Gilles et Anaïs GOUT,"Decu je n'arrive pas acceder a toutes les ventes; page blanche. Malgre desinstallation et réinstallation, changement de mobile. De plus a l'ouverture des ventes,  tout est vendue. Ce n'est pas normal !",3,1515970800000
Aymeric Doe,"Client vente privée depuis des années, le site est devenu désastreux, voir malhonnête. De plus en plus de vente sont encaissées sans être honorées, prétextant un problème logistique, guidé par un SAV largement dans le flou, des produits très intéressants mis en vente mais celle ci ne sont que factice, il y a rien au bout. Je déconseille fortement,actuellement en litige pour 2 ventes.",1,1516230000000
Priscilla Valexxx,Désastreux malhonnête offres qui ne peuvent être honorées.  Produits commandés n'arrivent pas à destination . Pas de possibilité d'annulation et surtout pas de remboursement rapide voir des mois à attendre. SAV SANS REPONSE A éviter à tout prix,1,1516575600000
adiloz ben,Arnaque. Ce n'est plus un bon plan le prix des produits presque le même dans les boutiques.,1,1517180400000
Amandine Joliat,Déçu sur les prix vous dites que ces moins chère alors que ces le même prix sur les sites officiels. A revoir...,2,1516834800000
Cassandre Chabouis,plusieurs commande passé sur ce site avec plusieurs retard et des produits jamais reçu.  en plus ils gonflent les prix de façons astronomique en proposant de fausses réductions.,1,1516921200000
Laura Glt,J'ai commander un set de 3 lentilles photos pour téléphones et je n'en reçois que 2 (même sur le paquet du produit il est sensé y en avoir 3. Mais le site ne peux rien faire pour moi. Je ne commanderais plus.,1,1516834800000
,Ma copine ayant commander des new balance qu'elle n'a jamais reçu des gros voleurs,1,1517007600000
Luffylol 07,"Très bonne application pour faire des bons plans MAIS il commence à y avoir BEAUCOUP trop de proposition pour des ""voyages"" moins cher et de moins en moins de fringues, dommage",3,1516575600000
Cox B,"Trop de problèmes. Un séjour Disney réservé le 29/12 a été confirmé deux jours avant le départ. J'ai bien cru ne jamais partir. Le service client est absolument incompétent, on nous envoie vers d'autres voyagistes ou plateformes, qui n'ont au final rien à voir avec notre réservation. Passer plus de 3h au téléphone en période d'examen à réclamer notre dû a été passionant. Sans parler des commandes payées qui n'arrivent jamais ! On nous promet des livraisons rapides mais on est incapables de les mettre en oeuvre. On paye cette livraison, on paye le produit, mais ils ne respectent absolument pas leur part du contrat. Et encore une fois, le service client est merveilleux : on ne nous expose que des banalités et des excuses pleines de fautes d'orthographe, prétextant des problèmes logistiques, et on nous présente comme le St Graal une malheureuse réduction de 5 euros qui couvre à peine les frais de livraison, et qui en plus n'est valable que sur une prochaine commande, avec ici encore des dizaines de conditions. Qui aurait envie d'utiliser ce bon de réduction après de telles mésaventures ?  Tout ça pour qu'au final, on nous annonce que l'on n'aura pas le produit. J'attends le remboursement, et il a intérêt à n'avoir aucun problème logistique ou retard de livraison.",1,1516402800000
céline Gazel,"Je n'arrive pas à avoir la version française avec des tailles et pointures françaisesvetvdes prix en euros. C'est pas du tout pratique, du coup je n'achète pas !",2,1516057200000
Olivier Olivier,Aucune possibilité d'annuler une commande via l'application obligé de passé par un pc meme en passant par google sa ne marche pas.,2,1517353200000
Marie Saintdrenan,Marche bien. Toutes mes commandes ont été honorées avec succès.,4,1516057200000
,la qualité est au rdv. attention de vérifier au préalable s il s'agit de vrai remises.....,5,1516662000000
Céline D,"J'adore ! L'application est presque parfaite. Elle est très ludique, simple, sympa, fun, jolie, et un service SAV efficace :)",5,1516143600000
Pierre-Yves Brand,"Très pratique, de bonnes affaires. Par contre, méfiez vous des Rose Deals",4,1517526000000
Lucas 31,Trop bien,5,1515452400000
,"Belle idée mais attention aux prix supposés public qui ne reflètent pas toujours la réalité, se renseigner donc. Autre souci : quand on pose une question sur un produit, la réponse est trop évasive et on est pas plus avancé ! Enfin, trop de produits sont déjà épuisés à l'ouverture (7h00 ou 9h00), ce qui est bizarre. Pas la peine de les proposer à ce moment là !",3,1514156400000
mickael morel,"Commande de 300 euros, Colis non reçu, aucune nouvelle de la demande de remboursement malgré les documents envoyés par mail puis par courrier.  Très déçu...",1,1515106800000
natasha legret,"Déçue, déçue, déçue.... Impossible d ouvrir l application depuis la dernière mise à jour... J ai désinstallé -réinstallé l appli  :  rien n y fait... Au secours, vente-privée !!!",1,1513897200000
Adrien Tournemol,Très déçu de cette application  qui ne fournit pas toute les informations nécessaires pour une bonne commande. Si il y a le moindre soucis avec le service client rien est fait. Très déçu,1,1514502000000
,Bonne affaire. Bon prix et il y a du choix. Ca fait plus de 10 ans que je vous connais et ma carte bleue vous desteste toujours lol. Mais aujourd'hui il y a un problème de connection. J'espère que vous allez vite le résoudre.,4,1513638000000
Loic Cout,Ce site est une véritable escroquerie achetez donc des trucs qu'on vous livrera jamais. Service client zéro pointé. Nul de chez nul fuyez,1,1513724400000
Castor Troy,Grosse déception !!  Ne fonctionne plus depuis la dernière mise à jour. Les délais de livraison sont ABUSIVEMENT longs !  Et les prix d origine...Verifiez bien ailleurs si ils sont corrects...,1,1513897200000
Skye L,"Je n'ai jamais eu aucun problème avec Vente Privée, ni sur l'annulation, le remboursement d'une commande ou la réception. L'appli a d'énormes problèmes par contre, particulièrement aujourd'hui. Je suis à 2m de la box et l'appli me dit de me connecter au réseau et se ferme...",4,1513638000000
Aurélia IRIART,"Tellement déçue de ce site ! Des retards de livraison sans même nous prévenir, pas de réponses aux mails envoyés, article commandé et remboursé au moment où il doit être réceptionné..bref...ils n'ont aucunes considération pour leur client ! Moi, je désinstalle et je met ce site sur ma liste noire ! Terminé !",1,1514847600000
philippe blairon,Qualité en très nette baisse. Les délais de livraison sur le frais ne sont pas respectés et aucune notification sur les modifications. Quant à la qualité des produits c'est devenu très médiocre.,1,1514761200000
,"Délai de livraison non respecté qui était jusqu'au 19/12. J'ai demandé l'annulation et le remboursement car c'était pour noël mais ca devait être trop compliqué, ils m'envoient le colis aujourd'hui seulement. Je ne suis pas prête d'être remboursée et c'est pas la première fois qu'ils me font le coup",1,1515020400000
maxime zelis,"Promet des livraisons avant Noël et finalement, non, 4 janvier, sympa pour les enfant qui n'auront pas leur cadeau. Et ils n'auront que faire d'un bon d'achat de 10 euro...",1,1514070000000
Laia Cubel Escarré,"App horrible, prix de base faux dans pas mal des marques, vérifier bien avant d'acheter. 59 produits épuisés à 7h00? Prix de la livraison abusé par rapport aux délais de livraison.",1,1514329200000
Mohamed Samssy Diaby,Cela fai deux semaine je vois pas mes commande .   Delai de livraision non respeté que des mensonge et impossible de vous  contacté.  Pourquoi ?,1,1515366000000
Harmonie Beaumone,Application mise a jour le 20/12/2017 depuis impossible de l ouvrir écran noir pendant des minutes entières mais aucun message d erreur... Obligé d éteindre le téléphone portable....,1,1513810800000
VUILLET Pierre-Henri,"C'est du foutage de gueule, j'ai du réseau, l'application se déconnecte toute seule et me demande mon mot de passe, je le met à 5 reprises et ça me dit identifiants incorrect alors que je suis sur de moi, et finalement ça met nombre de tentatives dépasser et je ne peux pas me connecter. Votre application c'est vraiment de la belle m****, j'espère que vos développeurs n'ont pas trop honte du travail bâclé qu'ils ont fait",1,1513638000000
Val LNC,"Impossible d'ouvrir l'application depuis la dernière mise à jour. Problème fréquent depuis quelque temps sur vente privée, très compliqué de se connecter. ...",1,1514242800000
Selma Farah,Votre application est superbe ..par contre elle ne souvre et ne fonctionne pas bien quand je veux louvrir a partir de celle ci..il faut que je passe par ma boite mail a chaque fois ..faites quelque chose merci sinon a part ca bravo et excellente application..,5,1514674800000
Julien ANDRE,"Ne fonctionne plus depuis la dernière mise à jour ! Allez allez, on corrige tout ça ! J'achète à la concurrence en attendant !",1,1514415600000
laure debaisieux,"Parfait , bonnes affaires.  Bug complètement depuis la mise à jour d'aujourd'hui  (impossible d'ouvrir l'appli )",4,1513897200000
Laurent Bros,Je n est pas aimé car j ai retournee plein de produits  et ils  ne m ont pas remboursé  ou on me rembourse  pas avent 1ans donc je déconseille virement,1,1514329200000
Jerrion Bob,Bug depuis dernière mise a jour Android 7.0. L appli ne fonctionne plus. Dommage. Vite un correctif svp.,3,1514588400000
,Tres déçus commande passer le 19/11 et devais arriver avant le 3/01 mais toujours rien les mail de reponse sont très vagues ils ne savent pas quand arrivera ma commande car ils ont un problemes dans leur stock alors que les memes produits que les miens sont a nouveaux dans une nouvelle vente je suis tres mecontente mais le service cleint ne vous propose aucun remboursement tant qu ils n ont pas de nouvelles de ma commande,2,1515452400000
Nicolas Thomassin,Ne fonctionne plus depuis dernière MAJ... Développeurs au travail et par conscience professionnelle testé avant de balancer une appli.,1,1514156400000
Nicolas Roller,"Impossible de se connecter, l'application demande la connexion au réseau alors que je suis connecté ou alors app indisponible ! Idem sur mes tablettes, même après la mise à jour ! Travail à revoir !",1,1513638000000
Miss K. Crine,"Que se passe t-il ? L'appli a du mal s'ouvrir, et n'envoie plus d'alerte. Je suis très déçue",2,1515020400000
Wafongonna Meite,"Vente-privée et son complice Mondial Relay. L'un vous présente des articles avec des prix supposés réduis,vous achetez et l'autre avec son agence de LIEUSAINT(anarqueur) vous livre jamais vos articles.",1,1515106800000
M monia,Ne se lance plus sur Samsung tab s2 donc j'enlève une étoile  pour espérer une correction,3,1514415600000
Veronique Robert,"Il y a un bug, je ne peux l'ouvrir qu'une fois. Après ça bugue et je dois la réinstaller.",2,1514329200000
Irik Naïn,"Je n'arrive plus à l'ouvrir depuis deux jours. Un pb de smartphone, de réseau, ou l'appli ?",3,1514329200000
Chrystelle Ricoul,Pas moyen d'accéder à mon compte et quand je demande de me renvoyer mon mot de passe ça me dit erreur,1,1514934000000
bob léponge,PRIX GONFLÉS !!!!!!!! LES PRIX AVEC RABAIS SONT PLUS ÉLEVÉS QU'EN MAGASIN!!!!(lenor unstoppables x6 45€=7.5€ l'unité a auchan c'est 3.80€.,1,1514934000000
laurinka bene,Impossible d'ouvrir l'appli depuis la dernière mise à jour et problème toujours pas résolu...,1,1514761200000
Christine BLN,Un gros problème. L'application et le site ne s'ouvre pas sur mobile.,1,1514761200000
Achraf Attar,A chier depuis la mise à jour elle s'ouvre plus,1,1515452400000
Clémence Lemeunier,"Déçue, l'application ne veut plus s'ouvrir depuis plusieurs jours !",2,1514674800000
goulven Rio,Depuis la dernière mise à jour impossible de lancer l application reste figée sur les logo avec fond noir en 4G comme en wifi sur samsung S7 Edge,1,1515020400000
Vincent Briffaut,"Personnelle incompétent ,ne ces pas envoyer les commandes à la date indiquée.J aurais mis zéro si j aurais pu",1,1513897200000
Sette Gaël,Gros bug depuis la dernière mise a jour,3,1514588400000
Simon Chamaille,Ne se lance plus depuis maj,1,1515106800000
Cecile V,Pas de soucis avec eux contrairement a showroomprivee,5,1513983600000
Fouzia AOUCHICHE,j'aime bien l'appli vente privée mais elle présente quand même bcp de dysfonctionnements,3,1515106800000
,À l'époque je l'utiliser énormément ensuite jai arrêté  car trop de dépense  à voir ☺😊,4,1514588400000
Cris Mexores,"Depuis la dernière maj, l'application se lance et reste coincée sur l'écran avec le logo de vente privée 😡",2,1513638000000
Isamag,Bref j'ai passer commande  et j'ai peur de ne pas recevoir ma commande  voyant les autres avis,2,1515366000000
martine borlant,Ne fonctionne plus depuis la dernière mise à jour  !  Dommage sauf pour mon porte-monnaie !,1,1513897200000
,Beaucoup de prix reduction interessante miss 7€ desire frai de porc Sinon trés bonne application,5,1514156400000
Jean-Luc David,Impossible de se connecter à l'application. Aucune réaction du support.,1,1514588400000
Julia Penot,Les voyages privés ne s'affichent jamais... Je désinstalle cette application !,2,1515106800000
nordine lahriress,Depuis la mise à jour l'application ne fonctionne plus sur mon mate 10 pro...,1,1514329200000
Denis Maguet,Ne marche plus depuis la mise à jour.,1,1514156400000
Thierry CAYATTE,Ne s'ouvre plus depuis la dernière mise à jour.,1,1513983600000
virginie bourreau,Depuis la nouvelle mise à jour impossible d ouvrir l application...c est insupportable,1,1513897200000
gerard braverman,l appli ne s ouvre plus depuis la derniere mise à jour.....,1,1515193200000
GG Prod,Ne fonctionne plus sous Android 8 depuis la maj du 20/12...,1,1513810800000
Irina CHOPIN,Impossible a ouvrir depuis la dernière mise à jour. Sert à rien je désinstalle.,1,1515020400000
Groti Lium,Impossible d'ouvrir l'application sur mate 10 pro donc inutile !,1,1514502000000
SOULAYMAN ALfasher,C'est vraiment exceptionnel et le meilleur ajout aux produits que j'aime est le sens du mot,5,1514329200000
Bruno Jarde,Pleins de voyages ne s'affichent pas en ce moment....,3,1515366000000
eric paroisse,Depuis la dernière mise à jour... Quasiment impossible à ouvrir... A corriger rapidement !!!,1,1514415600000
Thierry MAUBERT,Ne fonctionne plus depuis la dernière mise à jour.,1,1514674800000
ELISABETH CHARDON,Ne fonctionne plus depuis dernière mise à jour,1,1514070000000
Babeth Debellemaniere,Nul ne commandez pas se sont des voleurs,1,1515106800000
,Pas mal de choix pour tous les goûts,3,1515193200000
Virginie David,Impossible de se connecter depuis quelques temps.,2,1514242800000
Anass Aknenni,Ne fonctionne plus depuis la dernière maj,1,1513897200000
Michaël N,Fonctionne plus du tout depuis la maj !!,1,1513724400000
Michel Ferasse,Ne tiennent pas leurs engagements.,1,1513897200000
Alexandre Thaille,L' Application ne marche pas,1,1514156400000
Frank Momprive,Depuis la dmj ca ne fait que bugger,2,1513897200000
,G philo,4,1515193200000
jeff GAQUIERE,Ne fonctionne pas !,1,1515279600000
ferere roselyne,C'est super j'adore.,5,1513724400000
Cédric A,Ne fonctionne pas!!!!!!,1,1514242800000
,Très  déçue je attend mon colis depuis 7 semaines. Reçu ce jour la moitié de la commande. C'est des cadeaux de Noël. Ni mail et ne répond pas aux miens. Honteux je ne commanderai plus jamais. Fuyez ce site pas sérieux,1,1513292400000
,Je suis déçu de tous ces commentaires cela fait 15 ans que je commande chez vente privées jamais eu de problèmes avec eu ou quand il y en a eu ceux ci ont été réglé.  Quand au remboursement ils ont toujours été correcte et rapide. Et le délai de livraison est toujours long.  Ventes privées  recoit la marchandise du fournisseur qu'une fois la vente clôturée sur le site VP.,4,1513551600000
Florent Moi,Limite arnaque. Plus du foutage de gueule qu''autre chose malgré quelques rares bonne affaires. Impossible de zoomer dans l'application (mes commandes...) Donc cette partie est inutilisable,1,1513292400000
Franck K,"C'est une HONTE ! Je n'ai reçu que la moitié de colis, et le service client me balade depuis déjà 1 semaine, INCAPABLES de faire quelque chose. D'après ce que je vois (dans les autres commentaires) les remboursements ne sont pas si simples, dans ce cas s'il faudra agir avec la loi, on en arrivera là car une telle ARNAQUE ne devrait pas exister. UN CONSEIL NE COMMANDEZ SURTOUT PAS SUR CE SITE FRAUDULEUX",1,1513378800000
Charlne Lb,"Plus d'un mois de délai pour la livraison... on est en 2017 quand meme, y'a des sites chinois qui font mieux... franchement si la livraison était gratuite à la limite ca passerai mais la, faut pas exagérer !",2,1513378800000
EloOw Dy,Mon compte bloqué pourquoi ? C'est du n'importe quoi. J'ai changer mon mot de passe mais rien à faire ☹😟😤,1,1513465200000
sam DEPIN,"Le délai de livraison est respecté. La description du produit acheté ne correspond pas exactement à celui reçu : diamètre casserole 14 cm-&gt;18 cm. M'en fous c'est une casserole, pas glop si cela avait été un vêtement ou un sex toy...",3,1513119600000
,"Chaussures marquer 42 mais qui font deux tailles de plus , j'ai annuler une commande le 12/12/17 le jour meme mais je nes jamais ete rembourser j'ai contacter le service client plusieurs fois qui me disent toujours la meme chose sans aucun changement , les mail n'on parlons meme pas cest des reponses hors sujet je me demande si il prennent le temps de les lire avant de repondre , a fuir ..",1,1514415600000
Hicham Mouzdair,"Ils ne sont pas correcte je commande toujours chez eux, j'ai jamais commandé sans avoir un problème, il y a des commandes que j'ai jamais reçu, ils me disent anomalies, je suis très déçu par leurs prestations, malgré que je suis un client qui effectue +de 500€/mois d'achat je reçois toujours que la moitié",1,1513551600000
Sylvain Lavogez,Les offres sont très souvent de fausse promo on trouve souvent au même prix voir mieux,2,1513378800000
mohamed amine,Pas de livraison sur algeria,1,1514674800000
,Vos marque sont de plus en plus nul,1,1515538800000
Katia Kat,Très bonne apli,5,1513551600000
jany lafargue,"Plein de choix à première vue, mais pas de possibilité d'affiner par taille et les délais de livraison sont juste indécents pour de la vente internet. 3/4 semaines En moyenne. Une honte.  Mais le site est bien fait",2,1512946800000
Nathalie Coutant,"Attention arnaque. Fait du sur booking pour certaines ventes, encaisse votre commande un mois avant la livraison qui n'arrivera jamais et ne rembourse que sur réclamation. Dommage c'était une appli sympa au début...",2,1512687600000
Anne-Lise Duval,Frais de port beaucoup trop élevé prix de vente certes réduit mais uniquement de quelques euros comparée bien sur le net avant d'acheter vous verrez que la réduction n'est pas si intense que ça je bannis je désinstalle je préfère rester chez Showroomprive,1,1513033200000
marie sophie verspieren couturon,L application ne fonctionne pas!,1,1512687600000
oth moi,Chaussure taille 42 commandé au mois de septembre reçu en décembre en taille 32  et pas moyen de les changer nulle,1,1512860400000
mimi rida,J'ai tjrs pas recu ma commande 😔🖓🖓🖓🖓,2,1513292400000
Fanny Roenelle,Très bonne apli,5,1513378800000
,"Appli sympa occasionnellement. De bonnes affaire parfois, mais les prix restent à vérifier avant de commander. Les produits mettent plus d'un mois à arriver pour la plupart, et pour certain, le prix de la livraison à domicile est excessif. Bref un peu déçu tout de même.",3,1516834800000
Dominique Haccart,Plus intéressant je commande un deshydrateur et je reçois un four cherchez l'erreur... Je commande pointure 40 et reçois du 38 ... nulle nulle pas d'excuse et des délais à rallonge pour la livraison frais de port excessif et bien regarder les prix ailleurs avant car j'ai trouvé moins cher . Si Mr granjon pouvait être au courant des problèmes de son entreprise....et bien-sûr aucun geste commercial.ils ont perdu un bon client et je pense pas être le seul...,1,1512946800000
Olivier Dufay,"Impossible de se connecter depuis hier. Ça tourne dans le vide au début puis maintenant ça me dis que mes identifiants sont incorrectes. Bref impossible de se connecter Après ça n a pas bcp d'importance car je commande quasi jamais. Frais de port élevés, délais de livraison trop long(parfois tu reçois ta commande tu ne sais même plus ce que tu as commandé) Bref je fais du leche vitrines et c'est tout avec cet appli",1,1511046000000
Helene Fu,Impossible de récupérer les titres de réservation de la vente photoweb que j'ai acheté il y a deux jours. Le site tourne dans le vide et l'application aussi. Le service commercial n'est pas capable de m'envoyer mes titres par email malgré mes nombreuses appels et e-mail. C'est un peu gênant de ne pas honorer ces ventes !!!!,1,1511910000000
S Mug,Un mois que j'attends un remboursement... Le service client me balade alors que j'ai reçu un mail indiquant le remboursement le 16 octobre ! Attention en cas d'annulation vous ne récupérerez votre argent. Je vais devoir faire appel à une association de consommateurs ! Et perdre mon temps batailler pour avoir mon argent!,1,1510354800000
Mag LB,"Des années que je commande sur vente privée et tout se passait plutôt bien jusqu'à septembre ... j'adore les ventes monday mood mais depuis quelques temps quasi impossible d'y faire des achats !!! Tout les produits apparaissent disponibles mais quand je veux en ajouter à mon panier ils sont tous épuisés !!! Habituellement les produits épuisés étaient grisés et les produits qui étaient à nouveau disponibles remontaient en haut de la page, c'est un bug vraiment embêtant qui m'a poussé à aller m'inscrire sur d'autres sites de vente privées, shoroomprive, brandalley, bazarchic ... aussi avec l'appli on ne peut pas voir le détail de nos commandes !!!",3,1512255600000
,Je lis beaucoup d'avis négatif or moi pour lisntant je suis très satisfaite. Certes les délais sont longs mais on le sait à l'avance.  C'est le jeu. Par ailleurs ils ont toujours été respectés.   De belles économies. Des ventes privées très intéressantes.  Un seul bémol les frais de livraison.  Mais cela dépend des ventes car parfois ils sont peu élevés  Bref je suis satisfaite.,4,1512774000000
Sam LION,"Plus rien à vendre sur ventes privées  ? Juste deux ventes en cours. Je pense qu'il y a un bug depuis la dernière mise à jour et la géolocalisation! Dommage, je réalisais mes achats sur mon mobile ! Merci à ventes privées de prendre aussi bien soin de mon compte en banque  ! Que d'économie réalisée  !",1,1511046000000
Betty Combes,"Appli qui ne fonctionne plus depuis plusieurs mois (écran noir). Service clients qui répond une fois sur 2. Délai de livraison ultra long et pas respecté (sympa pour Noël). Article en rupture de stock remboursé bien après avoir été encaissé. Je desinstalle. Dommage, cliente depuis plusieurs années, avant c'était très bien mais là, ça se degrade... Tant pis, j'irai voir ailleurs où le service est plus sérieux!",1,1515798000000
Nicolas Artinetti,De pire en pire . Produits non conforme . Délai a rallonge . Manque systématiquement un produit après avoir commandé et payé bien-sûr pour un dédommagement ridicule . Très  déçu    😠,1,1511478000000
Thomas LANOY,J'ai passé commande le 27 octobre on me dit que je serais livré le 24 novembre ( délai déjà super long ) et la comme par hasard on repousse jusqu'au 14 décembre pour sois disant contretemps logistique . Je vais attendre le 14 et si je j'ai toujours rien j'engagerai un litige paypal..... bref à fuir !!!!,1,1511478000000
Stephane C,Impossible de se connecter depuis hier. De plus je trouve que les frais de port sont trop chers et les délais de livraison sont beaucoup trop long. Dommage car certaines offres sont intéressantes. Néanmoins je désinstalle l'application et je ferme mon compte.  Il y a trop de points négatifs.,1,1511218800000
ramanvda ramanvda,"Déçu. Délai livraison trop long. CB débitée rapidement sur de gros montant.  Frais de retour de 6.9€ par commande. 2 produits défectueux sur 2 commandes. J'ai essayé ce site pour voir, maintenant j'ai vu. Merci.",1,1516921200000
Marianne LEVERT,Une connexion de plus en plus défaillante...  Des Inscriptions à des ventes avec notification d'ouverture qui m'alerte 1 fois sur 3 à leur convenance...  Des ventes qui débutent à 9h avec des produits déjà indisponibles ?  Des ventes où les produits sont disponibles et dans la fiche produit ils ne le sont plus...   Enfin... Tout cela est bien moindre quand on ne peut plus ouvrir l'application du tout depuis vos 3 mises à jour en moins d'une semaine!  J'attends depuis hier que le papillon rose veuille bien s'envoler... En vain !  En attendant je vais sur showroom... 😊 J'ai quand même mis 1 étoile pour un grand progrès de votre part : les frais de ports ! Voilà ENFIN la livraison en point relais à un tarif convenable !!!,1,1510354800000
Sara Di Pisa,Beaucoup trop de bug de déconnexion  a tout moment. Quand on demande à être alerter pour une vente qui ou re a 7h on es sois pas alerter du tout sois à 11h donc tout es déjà épuisée !  Ou bien encore à 7h la vente ouvre 7h01 toute la vente est en rupture..,2,1511046000000
Amandine ALTEA,"J'ai commandé en début de mois, et depuis hier beug de fous, je ne peux plus suivre mes commandes et en+ sa me déconnecte en me disant que sois-disant mes identifiants sont incorrectes ! Je l'ai changé il y a 15 minutes, et 15 minutes après sa me re-déconnecte et devinez quoi ??? MES IDENTIFIANT SONT INCORRECTES SA ME DIT ?! Changez ce beug sinon je commanderais plus chez vous !!!!",1,1511046000000
,Jai acheter 2/3 fois la plupart du temp dessus. Jai acheter un canaper usé ( arnaque de la marque ) a 450euros pour me dire au final que je dois le renvoyer a mes frai et trouver un transport au bout 2 mois toujours rien qui a avancer de leur coter jai  lacher laffaire pour avoir finalement 60euros en bon dachat. Vraiment decu ne recommande pas.,3,1512514800000
Didier Schonne,"Lassé de recevoir des notifications non sollicitées : ""Restons en contact"", j'ai profité de la possibilité d'Android de bloquer toutes les notifications de cette application.",1,1511823600000
